Número de Serie (Número de serie),ID (Número de serie),Nombre (en la base de datos),Cantidad actual,Ubicado en almacén,Tiene accesorios,Códigos QR,Estructura de la carpeta (Carpeta),Tipo de articulo (Carpeta),Código,Nombre (en la base de datos) 2,Tipo (posición/case/set),Nota externa
,,Batería Watson Pro 14.4V 95Wh Slim (Gold Mount),12,3A,0,1000307,Power/Baterías,Equipos,499,Batería Watson Pro 14.4V 95Wh Slim (Gold Mount),Articulo,
,,Cargador Batería Watson Pro Dual Position (Gold Mount),2,3A,1,1000308,Power/Cargadores,Equipos,500,Cargador Batería Watson Pro Dual Position (Gold Mount),Articulo,
,,Plate SHAPE V-Mount to Gold Mount Converter,3,2A,0,1000309,Accesorios/Plates,Equipos,501,Plate SHAPE V-Mount to Gold Mount Converter,Articulo,
,,Plate SHAPE Pivoting for Shogun 7 Monitor Cage (V-Mount),5,2A,0,1000310,Accesorios/Plates,Equipos,502,Plate SHAPE Pivoting for Shogun 7 Monitor Cage (V-Mount),Articulo,
,,"Magliner Nose 5/8"" Baby Pin Dual",1,,0,1000311,Monitores/Accesorios Monitores,Equipos,503,"Magliner Nose 5/8"" Baby Pin Dual",Articulo,
,,Cable AC XLR 4 Pins 10ft,5,02 A,0,1000323,Power/Alimentadores AC/No Asignados,Equipos,515,Cable AC XLR 4 Pins 10ft,Articulo,
,,Power AC AJA,2,,0,1000324,Power/Alimentadores AC/Asignados,Equipos,516,Power AC AJA,Articulo,
,,Cable Video BNC 1ft (Skinny),35,08 D,0,1000326,Cables/Cables Video,Equipos,518,Cable Video BNC 1ft (Skinny),Articulo,
,,Cable Video BNC 3ft,2,08 D,0,1000327,Cables/Cables Video,Equipos,519,Cable Video BNC 3ft,Articulo,
,,Regleta IKEA,15,02 A,0,1000340,Power/Regletas,Equipos,532,Regleta IKEA,Articulo,
,,Extensión Eléctrica,4,,0,1000341,Power/Extensiones,Equipos,533,Extensión Eléctrica,Articulo,
,,Rods 6”,3,6B,0,1000346,Monitores/Accesorios Monitores,Equipos,538,Rods 6”,Articulo,
,,Cable AC Americano,29,02 A,0,1000354,Power/Alimentadores AC/No Asignados,Equipos,546,Cable AC Americano,Articulo,
,,Artículo de Limpieza Duster (Aire Comprimido),4,,0,1000355,Gastables/Artículos de Limpieza,Equipos,547,Artículo de Limpieza Duster (Aire Comprimido),Articulo,
,,Artículo de Limpieza WD-40,2,,0,1000356,Gastables/Artículos de Limpieza,Equipos,548,Artículo de Limpieza WD-40,Articulo,
,,Artículo de Limpieza Bubble Scrubbing,1,,0,1000357,Gastables/Artículos de Limpieza,Equipos,549,Artículo de Limpieza Bubble Scrubbing,Articulo,
,,Lanillas,8,,0,1000358,Gastables/Artículos de Limpieza,Equipos,550,Lanillas,Articulo,
,,Paño Atomos,3,,0,1000359,Gastables/Artículos de Limpieza,Equipos,551,Paño Atomos,Articulo,
,,Paños,5,,0,1000360,Gastables/Artículos de Limpieza,Equipos,552,Paños,Articulo,
,,Tape Velcro,1,,0,1000361,Gastables,Equipos,553,Tape Velcro,Articulo,
,,Carta de Color Xrite Classic Checker,1,,0,1000362,Accesorios/Accesorios Color,Equipos,554,Carta de Color Xrite Classic Checker,Articulo,
,,Gray Charts 18% Kit w/ Strap,3,,0,1000363,Accesorios/Accesorios Color,Equipos,555,Gray Charts 18% Kit w/ Strap,Articulo,
,,Tape Gaffer (Negro),1,,0,1000364,Gastables,Equipos,556,Tape Gaffer (Negro),Articulo,
,,Cinta Métrica,1,,0,1000365,Accesorios/Herramientas,Equipos,557,Cinta Métrica,Articulo,
,,Fajas,2,,0,1000366,Accesorios,Equipos,558,Fajas,Articulo,
,,Bulto Cinebag Tools Small,1,02 D,0,1000367,Maletas/Cases/Bultos/Bultos,Equipos,559,Bulto Cinebag Tools Small,Articulo,
,,Bulto Tool Bag (Negro),1,08 F,0,1000368,Maletas/Cases/Bultos/Bultos,Equipos,560,Bulto Tool Bag (Negro),Articulo,
,,Guantes,1,,0,1000369,Accesorios/Herramientas,Equipos,561,Guantes,Articulo,
,,Cover Bag It,1,,0,1000370,Gastables,Equipos,562,Cover Bag It,Articulo,
,,Lonas Plásticas,3,,0,1000371,Gastables,Equipos,563,Lonas Plásticas,Articulo,
,,Capa de Lluvia,1,,0,1000372,Gastables,Equipos,564,Capa de Lluvia,Articulo,
,,Luz LED USB (Small),2,,0,1000373,Accesorios,Equipos,565,Luz LED USB (Small),Articulo,
,,Antenna Replacement  (S),30,6B,0,1000375,Wireless Systems/Accesorios Wireless Systems,Equipos,567,Antenna Replacement  (S),Articulo,
,,Antenna Replacement (Flat),5,6B,0,1000376,Wireless Systems/Accesorios Wireless Systems,Equipos,568,Antenna Replacement (Flat),Articulo,
,,Antenna Replacement  (Skinny),6,6B,0,1000377,Wireless Systems/Accesorios Wireless Systems,Equipos,569,Antenna Replacement  (Skinny),Articulo,
,,Antenna Replacement  (M),5,6B,0,1000378,Wireless Systems/Accesorios Wireless Systems,Equipos,570,Antenna Replacement  (M),Articulo,
,,Herramienta Llave Allen (Pack),3,,0,1000379,Accesorios/Herramientas,Equipos,571,Herramienta Llave Allen (Pack),Articulo,
,,Calibrador Monitor x-Rite i1 Display Pro,1,,0,1000380,Accesorios/Accesorios Color,Equipos,572,Calibrador Monitor x-Rite i1 Display Pro,Articulo,
24050863000534,193,Lector Lexar CF2,3,7C,0,1000385,Lectores,Equipos,577,Lector Lexar CF2,Articulo,
24050272200730,194,Lector Lexar CF2,3,7C,0,1000385,Lectores,Equipos,577,Lector Lexar CF2,Articulo,
24050272200856,205,Lector Lexar CF2,3,7C,0,1000385,Lectores,Equipos,577,Lector Lexar CF2,Articulo,
,,Lector RED Mini-Mag,1,,0,1000386,Lectores,Equipos,578,Lector RED Mini-Mag,Articulo,
,,"Lector RED Mag 1.8""",2,,0,1000387,Lectores,Equipos,579,"Lector RED Mag 1.8""",Articulo,
673755-1046,195,Lector Transcend USB 3.0,5,7C,0,1000388,Lectores,Equipos,580,Lector Transcend USB 3.0,Articulo,
673755-1058,196,Lector Transcend USB 3.0,5,7C,0,1000388,Lectores,Equipos,580,Lector Transcend USB 3.0,Articulo,
714671-3765,206,Lector Transcend USB 3.0,5,7C,0,1000388,Lectores,Equipos,580,Lector Transcend USB 3.0,Articulo,
,,Tape Label 18mm White,9,,0,1000389,Gastables,Equipos,581,Tape Label 18mm White,Articulo,
,,Tape Label 12 mm White,4,,0,1000390,Gastables,Equipos,582,Tape Label 12 mm White,Articulo,
,,Tape Label 18mm Blue,5,,0,1000391,Gastables,Equipos,583,Tape Label 18mm Blue,Articulo,
,,Tape Label 18mm Red,6,,0,1000392,Gastables,Equipos,584,Tape Label 18mm Red,Articulo,
,,Tape Label 24mm White,1,,0,1000393,Gastables,Equipos,585,Tape Label 24mm White,Articulo,
,,Tape Label Black on Metalic Silver 12mm,2,,0,1000394,Gastables,Equipos,586,Tape Label Black on Metalic Silver 12mm,Articulo,
,,Tape Label Glow in the Dark 12mm,1,,0,1000395,Gastables,Equipos,587,Tape Label Glow in the Dark 12mm,Articulo,
,,Bulto Accessories P,1,07 F,0,1000396,Maletas/Cases/Bultos/Bultos,Equipos,588,Bulto Accessories P,Articulo,
,,Bulto Though Built Large,2,08 F,0,1000397,Maletas/Cases/Bultos/Bultos,Equipos,589,Bulto Though Built Large,Articulo,
,,Mochila JVSTZON,2,07 F,0,1000398,Maletas/Cases/Bultos/Mochilas,Equipos,590,Mochila JVSTZON,Articulo,
K0215646,191,Convertidor Video AJA T-Tap,1,7C,0,1000399,Capture & Playback,Equipos,591,Convertidor Video AJA T-Tap,Articulo,
K0532844,192,Convertidor Video AJA U-Tap SDI,1,7C,0,1000400,Capture & Playback,Equipos,592,Convertidor Video AJA U-Tap SDI,Articulo,
,,Convertidor Video Porta SDI- HDMI,1,,0,1000401,Accesorios/Accesorios Video,Equipos,593,Convertidor Video Porta SDI- HDMI,Articulo,
BA0616,198,Cargador Pilas Recargables WATSON,4,6B,1,1000402,Power/Cargadores,Equipos,594,Cargador Pilas Recargables WATSON,Articulo,
BA1113,199,Cargador Pilas Recargables WATSON,4,6B,1,1000402,Power/Cargadores,Equipos,594,Cargador Pilas Recargables WATSON,Articulo,
BA0616,209,Cargador Pilas Recargables WATSON,4,6B,1,1000402,Power/Cargadores,Equipos,594,Cargador Pilas Recargables WATSON,Articulo,
,,Pilas Recargables Watson MX AA,2,,0,1000403,Power/Baterías,Equipos,595,Pilas Recargables Watson MX AA,Articulo,
,,Pilas Recargables Activ Energy AA,4,,0,1000404,Power/Baterías,Equipos,596,Pilas Recargables Activ Energy AA,Articulo,
,,Cargador Pilas Recargables 2U GP,1,,0,1000405,Power/Cargadores,Equipos,597,Cargador Pilas Recargables 2U GP,Articulo,
,,Plate V Mount,8,2A,0,1000408,Accesorios/Plates,Equipos,600,Plate V Mount,Articulo,
,,Cargador Dolgin Sony-L Mount,1,,0,1000409,Power/Cargadores,Equipos,601,Cargador Dolgin Sony-L Mount,Articulo,
,,Rack Connector BNC,38,6B,0,1000410,Accesorios/Accesorios Video,Equipos,602,Rack Connector BNC,Articulo,
,,Tapa Panel Monitor (1 Color Pack),9,,0,1000412,Monitores/Accesorios Monitores,Equipos,604,Tapa Panel Monitor (1 Color Pack),Articulo,
,,Internet Portátil Huawei,1,,0,1000413,Wireless Systems,Equipos,605,Internet Portátil Huawei,Articulo,
UCVZ410215H,207,Impresora Label Epson LW-600P,4,LABEL,1,1000414,Accesorios/Impresoras,Equipos,606,Impresora Label Epson LW-600P,Articulo,
,,Enclosure Atomos,4,7C,0,1000415,Archiving/Enclosure,Equipos,607,Enclosure Atomos,Articulo,
,,Enclosure Atomos (w/ Drive),2,7C,0,1000416,Archiving/Enclosure,Equipos,608,Enclosure Atomos (w/ Drive),Articulo,
K534DCK018556,197,Lector Disco Atomos SSD,1,7C,0,1000417,Lectores,Equipos,609,Lector Disco Atomos SSD,Articulo,
,,Brocha,1,,0,1000418,Accesorios/Herramientas,Equipos,610,Brocha,Articulo,
,,Brocha Mini,1,,0,1000419,Accesorios/Herramientas,Equipos,611,Brocha Mini,Articulo,
,,Tiewrap Small (Packs),1,2B,0,1000420,Gastables,Equipos,612,Tiewrap Small (Packs),Articulo,
,,Tiewrap Large (Pack),1,2B,0,1000421,Gastables,Equipos,613,Tiewrap Large (Pack),Articulo,
,,Tape label 12 1/2 on White,1,,0,1000422,Gastables,Equipos,614,Tape label 12 1/2 on White,Articulo,
,,Carro ProAim Victor Large,1,,0,1000423,Movilidad/Carros,Equipos,615,Carro ProAim Victor Large,Articulo,32 inches
,,Carpa Eurmax + Sides,1,,0,1000424,Accesorios,Equipos,616,Carpa Eurmax + Sides,Articulo,
3B1919X23002,99,UPS APC 1500,5,,0,1000425,Power/UPS,Equipos,617,UPS APC 1500,Articulo,
3B1919X23011,100,UPS APC 1500,5,,0,1000425,Power/UPS,Equipos,617,UPS APC 1500,Articulo,
3B2051X68218,132,UPS APC 1500,5,,0,1000425,Power/UPS,Equipos,617,UPS APC 1500,Articulo,
3B2051X68222,133,UPS APC 1500,5,,0,1000425,Power/UPS,Equipos,617,UPS APC 1500,Articulo,
3B1919X23028,140,UPS APC 1500,5,,0,1000425,Power/UPS,Equipos,617,UPS APC 1500,Articulo,
,,Carta de Color XRite Syder Check,1,,0,1000426,Accesorios/Accesorios Color,Equipos,618,Carta de Color XRite Syder Check,Articulo,+ Case Gris
,,Cable Video BNC 25 fts,9,03 A,0,1000427,Cables/Cables Video,Equipos,619,Cable Video BNC 25 fts,Articulo,
,,Cable Video BNC 50 fts,4,03 A,0,1000428,Cables/Cables Video,Equipos,620,Cable Video BNC 50 fts,Articulo,
,,Impresora Label Epson LW-400,2,LABEL,1,1000429,Accesorios/Impresoras,Equipos,621,Impresora Label Epson LW-400,Articulo,+Power
25-01660,141,"Monitor Convergent Apollo 7""",2,,0,1000430,Monitores,Equipos,622,"Monitor Convergent Apollo 7""",Articulo,
25-01236,143,"Monitor Convergent Apollo 7""",2,,0,1000430,Monitores,Equipos,622,"Monitor Convergent Apollo 7""",Articulo,
,,Mochila Logic Case,3,DIT / DATA CASE,0,1000431,Maletas/Cases/Bultos/Mochilas,Equipos,623,Mochila Logic Case,Articulo,
,,Cable Video BNC 2fts,16,08 D,0,1000432,Cables/Cables Video,Equipos,624,Cable Video BNC 2fts,Articulo,
,,Monitor DualView Marshall,1,,1,1000433,Monitores,Equipos,625,Monitor DualView Marshall,Articulo,
1876869,201,Interface Video Ultrastudio 4K Blackmagic,2,,1,1000435,Capture & Playback,Equipos,627,Interface Video Ultrastudio 4K Blackmagic,Articulo,
MA250A00051,65,"Monitor Flanders AM250 24"" OLED",1,,1,1000436,Monitores,Equipos,628,"Monitor Flanders AM250 24"" OLED",Articulo,"2015

SIEMPRE SALE CON :

BNC 6FT

+POWER AC

+MOUNT PLATE

 

 "
CN-OG8TVH-QDC00-1B-8QFL-AL6,64,Monitor PC Dell P2419H,2,,0,1000437,Monitores,Equipos,629,Monitor PC Dell P2419H,Articulo,"+ arm plate ""M"" + power + HDMI-HDMI"
CN-0G8TVH-QDC00-09M-103S-A11,178,Monitor PC Dell P2419H,2,,0,1000437,Monitores,Equipos,629,Monitor PC Dell P2419H,Articulo,"+ arm plate ""M"" + power + HDMI-HDMI"
,,Caja Herramientas Remax,1,,0,1000438,Accesorios/Herramientas,Equipos,630,Caja Herramientas Remax,Articulo,
,,Director's Cage ProAim,1,,0,1000439,Monitores/Accesorios Monitores,Equipos,631,Director's Cage ProAim,Articulo,
,,Sunhood SHAPE,1,,0,1000440,Monitores/Accesorios Monitores,Equipos,632,Sunhood SHAPE,Articulo,
,,Power AC Apple USBC Macbook Pro,2,,0,1000445,Power/Alimentadores AC/Asignados,Equipos,637,Power AC Apple USBC Macbook Pro,Articulo,+ USB-C - USB-C Power
4865EE1-748D4,91,Adaptador Hyper Drive USBC,1,08 D,0,1000446,Accesorios/Accesorios Data,Equipos,638,Adaptador Hyper Drive USBC,Articulo,USBC- Standard 3.0/Thunderbolt 3/ HDMI
10906196,183,Color Panel Tangent Ripple,1,COLOR,1,1000447,Consola/Video,Equipos,639,Color Panel Tangent Ripple,Articulo,
,,Trackballs Kit Color Panel Tangent,1,,0,1000448,Accesorios/Accesorios Color,Equipos,640,Trackballs Kit Color Panel Tangent,Articulo,
C02V51GHHTDD,59,"Computadora Apple Macbook Pro 2017 15"" (D)",1,,1,1000449,Hardware/Computadoras,Equipos,641,"Computadora Apple Macbook Pro 2017 15"" (D)",Articulo," 

Processor : 2.8 GH2 Intel core i7

Memory : 16 GB

Graphics Radeon Pro 560 4GB 

Intel HD Graphics 630 1536 MB

SSD 500 GB

 

macOS Mojave"
,,Power AC Marshall Dual Monitor,1,,0,1000453,Power/Alimentadores AC/Asignados,Equipos,645,Power AC Marshall Dual Monitor,Articulo,
,,Cable AC Interface Video Blackmagic Ultrastudio 4K,2,,0,1000454,Power/Alimentadores AC/Asignados,Equipos,646,Cable AC Interface Video Blackmagic Ultrastudio 4K,Articulo,
,,Teclado Apple Protools Numeric,1,,0,456,Hardware/Teclados,Equipos,647,Teclado Apple Protools Numeric,Articulo,"+ Case ""Hermit Shell"" + Cable"
SHB00227,66,Hub CalDigit,1,08 D,1,1000457,Accesorios/Accesorios Data,Equipos,649,Hub CalDigit,Articulo,+ Power AC + Transformador
,,Adaptador USB 2.0 Female-Male,1,08 D,0,1000458,Accesorios/Accesorios Data,Equipos,650,Adaptador USB 2.0 Female-Male,Articulo,
,,Switch Monoprice 2In-1Out,2,,1,1000459,Capture & Playback,Equipos,651,Switch Monoprice 2In-1Out,Articulo,
,,Mouse Etekcity,1,,0,1000460,Hardware/Mouses,Equipos,652,Mouse Etekcity,Articulo,
,,Lector Tarjeta USB 3.0 Odyssey,1,7C,0,1000461,Lectores,Equipos,653,Lector Tarjeta USB 3.0 Odyssey,Articulo,
4829666,189,Convertidor Video Ultrastudio Mini Monitor Blackmagic,1,7C,0,1000462,Capture & Playback,Equipos,654,Convertidor Video Ultrastudio Mini Monitor Blackmagic,Articulo,
,,Lector Startech CF2-USBC,1,7C,0,1000464,Lectores,Equipos,656,Lector Startech CF2-USBC,Articulo,
,,Case Seahorse,4,,0,1000467,Maletas/Cases/Bultos/Cases,Equipos,659,Case Seahorse,Articulo,
,,Case Media Case,1,,0,1000468,Maletas/Cases/Bultos/Cases,Equipos,660,Case Media Case,Articulo,
,,Case SKB Teradek,2,6A,0,1000469,Maletas/Cases/Bultos/Cases,Equipos,661,Case SKB Teradek,Articulo,
,,Case Pelican 1650,2,1A,0,1000471,Maletas/Cases/Bultos/Cases,Equipos,663,Case Pelican 1650,Articulo,
,,Case Pelican IM2620,1,,0,1000473,Maletas/Cases/Bultos/Cases,Equipos,665,Case Pelican IM2620,Articulo,
,,Case Gator 6U,4,,0,1000474,Maletas/Cases/Bultos/Cases,Equipos,666,Case Gator 6U,Articulo,
,,Alimentador Serv Pro D-Tap Spliter,4,8C,0,1000478,Power/Alimentadores AC/Asignados,Equipos,670,Alimentador Serv Pro D-Tap Spliter,Articulo,
,,Roscas Male 3/8-Male 3/8,6,6B,0,1000479,Gastables,Equipos,671,Roscas Male 3/8-Male 3/8,Articulo,
,,Roscas Male 3/8-Male 1/4,4,6B,0,1000480,Gastables,Equipos,672,Roscas Male 3/8-Male 1/4,Articulo,
,,Roscas Male 1/4-Male 1/4,5,6B,0,1000481,Gastables,Equipos,673,Roscas Male 1/4-Male 1/4,Articulo,
,,Barrilito Female-Female 3/8,20,6B,0,1000482,Accesorios/Accesorios Video,Equipos,674,Barrilito Female-Female 3/8,Articulo,
,,Roscas Female-Male 1/4- 3/8,9,6B,0,1000483,Gastables,Equipos,675,Roscas Female-Male 1/4- 3/8,Articulo,
,,Roscas Male 1/4-Female 3/8,4,6B,0,1000484,Gastables,Equipos,676,Roscas Male 1/4-Female 3/8,Articulo,
,,Adaptador BNC Male-Female,14,6B,0,1000486,Gastables,Equipos,678,Adaptador BNC Male-Female,Articulo,
,,Adaptador BNC Female-Female,19,6B,0,1000487,Gastables,Equipos,679,Adaptador BNC Female-Female,Articulo,
,,Adaptador BNC  Male-Female,3,8C,0,1000488,Gastables,Equipos,680,Adaptador BNC  Male-Female,Articulo,
,,Adaptador HDMI Male-Female,6,8C,0,1000489,Gastables,Equipos,681,Adaptador HDMI Male-Female,Articulo,
,,Medidor de Tornillos,1,,0,1000494,Gastables,Equipos,686,Medidor de Tornillos,Articulo,
,,Rack Connector USB 3.0,8,08 D,0,1000495,Accesorios/Accesorios Data,Equipos,687,Rack Connector USB 3.0,Articulo,
,,"Power AC Lector RED Mag 1.8""",2,,0,1000496,Power/Alimentadores AC/Asignados,Equipos,688,"Power AC Lector RED Mag 1.8""",Articulo,
,,Cable AC Flanders Monitor,3,,0,1000498,Power/Alimentadores AC/Asignados,Equipos,690,Cable AC Flanders Monitor,Articulo,
,,Cargador Apple Ipad Lightning,7,,0,1000499,Power/Alimentadores AC/Asignados,Equipos,691,Cargador Apple Ipad Lightning,Articulo,
,,Cargador AC Carro,2,,0,1000500,Power/Cargadores,Equipos,692,Cargador AC Carro,Articulo,
,,Hub Atolla,1,08 D,0,1000502,Accesorios/Accesorios Data,Equipos,694,Hub Atolla,Articulo,
,,Accesorios de Plate Monitor,8,,0,1000503,Monitores/Accesorios Monitores,Equipos,695,Accesorios de Plate Monitor,Articulo,
,,Pins,4,,0,1000504,Gastables,Equipos,696,Pins,Articulo,
,,Mount Nebtek,1,,0,1000505,Monitores/Accesorios Monitores,Equipos,697,Mount Nebtek,Articulo,
,,Cable Video BNC 6fts,3,08 D,0,1000506,Cables/Cables Video,Equipos,698,Cable Video BNC 6fts,Articulo,
2770004060,60,Enclosure OWC 4Bay Thunderbolt 2,1,STORAGE 01,1,1000509,Archiving/Enclosure,Equipos,701,Enclosure OWC 4Bay Thunderbolt 2,Articulo,
C02S63TMG8WP,48,"Computadora Apple Macbook Pro 2015 15"" (C)",1,,1,1000510,Hardware/Computadoras,Equipos,702,"Computadora Apple Macbook Pro 2015 15"" (C)",Articulo," 

Processor : 2.5 GHz Intel Core i7

Memory : 16 GB 1600 MHz DDR3

Graphics : AMD Radeon R9 M370X 2GB

                Intel Iris Pro 1536 MB

macOS Mojave"
GG7DX7YQQ1GC,49,Tableta Apple iPad 8th Generation Wi-Fi,6,,1,1000512,Hardware/Tabletas,Equipos,703,Tableta Apple iPad 8th Generation Wi-Fi,Articulo,"+Cargador +Protector Case + Straps

32GB

Model A2270"
GG7DRJ62Q1GF,81,Tableta Apple iPad 8th Generation Wi-Fi,6,,1,1000512,Hardware/Tabletas,Equipos,703,Tableta Apple iPad 8th Generation Wi-Fi,Articulo,"+Cargador +Protector Case + Straps

32GB

Model A2270"
GG7DRL2JQ1GF,82,Tableta Apple iPad 8th Generation Wi-Fi,6,,1,1000512,Hardware/Tabletas,Equipos,703,Tableta Apple iPad 8th Generation Wi-Fi,Articulo,"+Cargador +Protector Case + Straps

32GB

Model A2270"
GG7DRBPWQ1GF,83,Tableta Apple iPad 8th Generation Wi-Fi,6,,1,1000512,Hardware/Tabletas,Equipos,703,Tableta Apple iPad 8th Generation Wi-Fi,Articulo,"+Cargador +Protector Case + Straps

32GB

Model A2270"
GG7DR8CEQ1GF,84,Tableta Apple iPad 8th Generation Wi-Fi,6,,1,1000512,Hardware/Tabletas,Equipos,703,Tableta Apple iPad 8th Generation Wi-Fi,Articulo,"+Cargador +Protector Case + Straps

32GB

Model A2270"
GG7DR6QQQ1GF,85,Tableta Apple iPad 8th Generation Wi-Fi,6,,1,1000512,Hardware/Tabletas,Equipos,703,Tableta Apple iPad 8th Generation Wi-Fi,Articulo,"+Cargador +Protector Case + Straps

32GB

Model A2270"
,,"Computadora Apple Macbook Pro 2014 15"" (B)",1,,1,1000524,Hardware/Computadoras,Equipos,709,"Computadora Apple Macbook Pro 2014 15"" (B)",Articulo," 

Processor : 2.5 GHz Intel Core i7

Memory : 16GB 1600 MHz DDR3

Graphics : NVIDIA GeForce GT 750M 2048 MB

                Intel Iris Pro 1536 MB

 

macOS High Sierra"
,,Mesa Plegable Keter,4,,0,1000525,Accesorios,Equipos,710,Mesa Plegable Keter,Articulo,
C02MM2T4FD59,55,"Computadora Apple Macbook Pro 2013 15"" (A)",1,,1,1000526,Hardware/Computadoras,Equipos,711,"Computadora Apple Macbook Pro 2013 15"" (A)",Articulo," 

Processor : 2.6 GHz Quad-Core Intel Core I7

Memory : 16GB 1600 MHz DDR3

Graphics : NVIDIA GeForce GT 750M 2GB

 

macOS BigSur"
C02W40KCJ1GQ,56,"Computadora Apple iMac (C) 27"" 2017",1,,1,1000529,Hardware/Computadoras,Equipos,713,"Computadora Apple iMac (C) 27"" 2017",Articulo,"Processor : 4.2 GHz Quad-Core Intel Core i7

Memory : 32 GB 2400 MHz DDR4

Graphics : Radeon Pro 580 8GB

 

macOS Catalina"
C02QG63GGG7J,58,"Computadora Apple iMac (B) 27"" 2015",1,,1,1000533,Hardware/Computadoras,Equipos,715,"Computadora Apple iMac (B) 27"" 2015",Articulo,"Processor : 3.2 GHz Intel Core i5

Memory : 32 GB 1867 MHz DDR3

Graphics : AMD Radeon R9 M3380 2GB

 

macOS Mojave"
NL601BQC,61,Enclosure LACIE 2Bay Thunderbolt 2,1,STORAGE 01,0,1000537,Archiving/Enclosure,Equipos,716,Enclosure LACIE 2Bay Thunderbolt 2,Articulo,
,,Disco Duro LACIE Rugged 1TB Thunderbolt 3,1,,0,1000539,Archiving/Hardrives,Equipos,717,Disco Duro LACIE Rugged 1TB Thunderbolt 3,Articulo,
,,Case Mini VKO Exposed Media,3,,0,1000540,Maletas/Cases/Bultos/Cases,Equipos,718,Case Mini VKO Exposed Media,Articulo,
,,Case Pelican 1510 (Black),2,,0,1000541,Maletas/Cases/Bultos/Cases,Equipos,719,Case Pelican 1510 (Black),Articulo,
,,"Tripode C-Stand Kupo Master 20"" Riser w/ Sliding Leg (Black, 6.5')",6,,0,1000544,Gripería/Tripodes,Equipos,721,"Tripode C-Stand Kupo Master 20"" Riser w/ Sliding Leg (Black, 6.5')",Articulo,
,,Mouse Deathadder,1,,0,1000545,Hardware/Mouses,Equipos,722,Mouse Deathadder,Articulo,
HUJ116DUTP,63,Tape Drive LTO 8 HP Ultrium 30750,1,,1,1000546,Archiving/LTO,Equipos,723,Tape Drive LTO 8 HP Ultrium 30750,Articulo,
,,Case Pelican 1300 (Grey),2,,0,1000550,Maletas/Cases/Bultos/Cases,Equipos,726,Case Pelican 1300 (Grey),Articulo,
F5KQ90BGF694,67,Computadora Apple MacPro 2013,4,,1,1000555,Hardware/Computadoras,Equipos,728,Computadora Apple MacPro 2013,Articulo," 

 

Processor : 2.7 GHz 12-Core Intel Xeon E5

Memory : 64GB 1866 MHz DDR3

Graphics : AMD FirePro D700 6GB

 

macOS Mojave"
F5KMG0ATF694,76,Computadora Apple MacPro 2013,4,,1,1000555,Hardware/Computadoras,Equipos,728,Computadora Apple MacPro 2013,Articulo," 

 

Processor : 2.7 GHz 12-Core Intel Xeon E5

Memory : 64GB 1866 MHz DDR3

Graphics : AMD FirePro D700 6GB

 

macOS Mojave"
F5KN90KKF9VN,77,Computadora Apple MacPro 2013,4,,1,1000555,Hardware/Computadoras,Equipos,728,Computadora Apple MacPro 2013,Articulo," 

 

Processor : 2.7 GHz 12-Core Intel Xeon E5

Memory : 64GB 1866 MHz DDR3

Graphics : AMD FirePro D700 6GB

 

macOS Mojave"
